"","IsolateID","Estimate","Standard Error","DF","t-value","Lower CI","Upper CI","p-value","Plant"
"IsolateID  1.01.01",1,2.7574,0.5688,3.3,4.85,1.0255,4.4893,0.0138,"PI.413153"
"IsolateID  1.01.02",2,2.3034,0.5688,3.3,4.05,0.5717,4.0352,0.0232,"PI.413153"
"IsolateID  1.01.03",3,2.7994,0.5692,3.3,4.92,1.0688,4.5301,0.0132,"PI.413153"
"IsolateID  1.01.04",4,2.0952,0.5691,3.3,3.68,0.3645,3.8259,0.0301,"PI.413153"
"IsolateID  1.01.06",5,2.6101,0.5915,3.8,4.41,0.9346,4.2855,0.0129,"PI.413153"
"IsolateID  1.01.15",6,2.724,0.5692,3.3,4.79,0.9933,4.4548,0.0143,"PI.413153"
"IsolateID  1.02.01",7,1.6402,0.5688,3.3,2.88,-0.0915,3.3719,0.0574,"PI.413153"
"IsolateID  1.02.02",8,1.5624,0.5689,3.3,2.75,-0.1691,3.2939,0.0647,"PI.413153"
"IsolateID  1.02.03",9,1.7956,0.5689,3.3,3.16,0.0641,3.5272,0.0455,"PI.413153"
"IsolateID  1.02.04",10,2.3193,0.569,3.3,4.08,0.588,4.0505,0.0227,"PI.413153"
"IsolateID  1.02.05",11,2.6746,0.5689,3.3,4.7,0.943,4.4062,0.0151,"PI.413153"
"IsolateID  1.02.06",12,2.1686,0.5691,3.3,3.81,0.4377,3.8995,0.0274,"PI.413153"
"IsolateID  1.02.13",13,0.9123,0.5916,3.8,1.54,-0.7631,2.5876,0.2014,"PI.413153"
"IsolateID  1.02.15",14,2.1843,0.569,3.3,3.84,0.4531,3.9156,0.0268,"PI.413153"
"IsolateID  1.02.16",15,1.4407,0.5689,3.3,2.53,-0.2907,3.1721,0.0786,"PI.413153"
"IsolateID  1.02.17",16,2.1523,0.5691,3.3,3.78,0.4215,3.8832,0.0279,"PI.413153"
"IsolateID  1.02.18",17,-0.0564,0.569,3.3,-0.1,-1.7875,1.6748,0.9269,"PI.413153"
"IsolateID  1.02.20",18,2.7769,0.5915,3.8,4.69,1.1013,4.4524,0.0105,"PI.413153"
"IsolateID  1.03.02",19,2.5725,0.569,3.3,4.52,0.8412,4.3038,0.0169,"PI.413153"
"IsolateID  1.03.04",20,1.8455,0.5688,3.3,3.24,0.1138,3.5772,0.0424,"PI.413153"
"IsolateID  1.03.12",21,1.768,0.569,3.3,3.11,0.0366,3.4993,0.0474,"PI.413153"
"IsolateID  1.03.16",22,2.1118,0.5691,3.3,3.71,0.3809,3.8428,0.0295,"PI.413153"
"IsolateID  1.03.18",23,1.9699,0.5688,3.3,3.46,0.2381,3.7017,0.0357,"PI.413153"
"IsolateID  1.03.19",24,1.9331,0.5689,3.3,3.4,0.2016,3.6646,0.0375,"PI.413153"
"IsolateID  1.03.20",25,0.1679,0.5691,3.3,0.3,-1.563,1.8988,0.7858,"PI.413153"
"IsolateID  1.03.22",26,1.7984,0.5689,3.3,3.16,0.0667,3.5301,0.0454,"PI.413153"
